EmployeeKey,EmployeeNumber,DepartmentKey,JobRoleKey,EducationFieldKey,BusinessTravelKey,GenderKey,MaritalStatusKey,Age,DistanceFromHome,JobLevel,JobInvolvement,OverTime,NumCompaniesWorked,StockOptionLevel,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,PerformanceRating,WorkLifeBalance,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Education,EducationLevel,AgeGroup,SalaryBand,TensureGroup,Job Satisfaction Level
1197,1678,3,8,2,3,2,3,41,23,3,3,Yes,3,0,1206,80,11591,7082,16,4,3,4,3,3,21,2,2,0,0,2,No,2,College,36-45,High Salary,New Employee,High
1236,1732,3,8,2,3,2,1,46,2,3,3,Yes,4,1,1277,74,5596,10368,12,3,4,2,3,2,13,5,10,6,0,3,No,3,Bachelor,46-55,High Salary,Experienced,Very High
1242,1739,3,8,2,3,2,2,32,19,3,1,No,3,1,371,80,3840,9610,13,4,3,3,3,1,10,2,4,3,0,2,No,3,Bachelor,26-35,High Salary,Early Career,High
1244,1744,1,2,2,3,1,2,45,4,3,1,No,4,2,176,56,6595,9756,21,3,3,3,4,4,9,2,5,0,0,3,No,3,Bachelor,36-45,High Salary,Early Career,High
1255,1757,3,8,3,3,1,3,49,11,2,3,No,3,0,1313,80,8191,4507,12,4,4,3,3,4,8,1,5,1,0,4,No,4,Master,46-55,Meduim Salary,Early Career,Very High
1334,1869,3,8,2,3,1,2,46,10,3,3,No,5,3,1254,64,14011,7314,21,3,2,3,4,3,14,2,8,7,0,7,Yes,3,Bachelor,46-55,High Salary,Experienced,Medium
1351,1898,3,8,4,3,1,3,27,2,2,4,No,0,0,511,89,26997,6500,14,1,3,2,3,2,9,5,8,7,0,7,No,2,College,26-35,Meduim Salary,Experienced,High
1364,1924,3,8,3,3,2,3,33,10,2,3,No,1,0,217,43,10410,5487,14,2,3,2,3,2,10,2,10,4,0,9,No,4,Master,26-35,Meduim Salary,Experienced,High
1381,1945,3,8,4,3,2,2,35,18,2,3,No,0,1,682,71,15975,5561,16,2,1,4,3,1,6,2,5,3,0,4,No,4,Master,26-35,Meduim Salary,Early Career,Low
1393,1962,3,8,2,3,1,2,35,7,2,3,Yes,1,0,1224,55,13586,5204,11,3,4,4,3,3,10,2,10,8,0,9,No,4,Master,26-35,Meduim Salary,Experienced,Very High
1394,1965,3,8,3,3,2,3,27,9,2,3,No,1,0,954,44,5099,4105,14,4,4,1,3,3,7,5,7,7,0,7,No,3,Bachelor,26-35,Meduim Salary,Experienced,Very High
1434,2018,3,8,5,3,1,1,25,8,2,3,Yes,0,1,1382,85,13684,4907,22,1,3,2,4,2,6,3,5,3,0,4,No,2,College,18-25,Meduim Salary,Early Career,High
1449,2037,3,8,2,3,2,1,41,3,2,2,No,2,1,930,57,12227,8938,11,3,2,3,3,3,14,5,5,4,0,4,No,3,Bachelor,36-45,High Salary,Early Career,Medium
1455,2046,3,8,2,3,1,3,45,20,2,3,No,8,0,374,50,23333,4850,15,4,3,3,3,3,8,3,5,3,0,1,No,3,Bachelor,36-45,Meduim Salary,Early Career,High
43,55,2,3,2,3,2,3,26,25,1,1,No,1,0,1357,48,10558,2293,12,1,3,3,3,2,1,2,1,0,0,1,Yes,3,Bachelor,26-35,Low Salary,New Employee,High
141,190,2,3,4,3,1,3,32,9,1,3,No,7,0,1033,41,10224,4200,22,1,1,1,4,4,10,2,5,4,0,4,Yes,3,Bachelor,26-35,Meduim Salary,Early Career,Low
193,261,2,5,2,3,2,2,35,23,2,2,Yes,3,0,556,50,15497,5916,13,2,3,1,3,3,8,1,1,0,0,1,Yes,2,College,26-35,Meduim Salary,New Employee,High
230,315,2,7,4,3,2,3,29,18,1,2,Yes,1,0,896,86,14961,2389,13,3,4,3,3,2,4,3,4,3,0,1,Yes,1,Below College,26-35,Low Salary,Early Career,Very High
235,325,2,3,4,3,2,2,33,14,1,3,Yes,5,1,813,58,22149,2436,13,3,4,3,3,1,8,2,5,4,0,4,Yes,3,Bachelor,26-35,Low Salary,Early Career,Very High
337,454,2,3,5,3,2,2,29,8,1,1,Yes,1,0,318,77,4759,2119,11,2,1,4,3,2,7,4,7,7,0,7,Yes,4,Master,26-35,Low Salary,Experienced,Low
657,911,2,3,2,3,2,3,32,25,1,3,Yes,1,0,374,87,18016,2795,24,1,4,3,4,1,1,2,1,0,0,1,Yes,4,Master,26-35,Low Salary,New Employee,Very High
858,1200,2,7,2,3,2,3,44,10,1,3,Yes,1,0,1097,96,10826,2936,11,3,3,3,3,3,6,4,6,4,0,2,Yes,4,Master,36-45,Low Salary,Experienced,High
929,1295,2,1,4,3,1,2,44,15,3,3,No,1,1,621,73,14075,7978,11,1,4,4,3,3,10,2,10,7,0,5,Yes,3,Bachelor,36-45,High Salary,Experienced,Very High
1078,1522,2,7,6,3,2,3,29,1,1,2,No,6,0,224,100,7568,2362,13,1,1,3,3,1,11,2,9,7,0,7,Yes,4,Master,26-35,Low Salary,Experienced,Low
1292,1809,2,5,4,3,2,3,37,10,2,3,No,1,0,370,58,4992,4213,15,4,1,2,3,1,10,4,10,3,0,8,Yes,4,Master,36-45,Meduim Salary,Experienced,Low
1391,1960,2,3,6,3,2,1,28,17,1,2,No,5,1,1404,32,18779,2367,12,3,4,1,3,2,6,2,4,1,0,3,Yes,3,Bachelor,26-35,Low Salary,Early Career,Very High
11,14,2,3,4,3,2,2,35,16,1,4,No,0,1,809,84,16479,2426,13,1,2,3,3,3,6,5,5,4,0,3,No,3,Bachelor,26-35,Low Salary,Early Career,Medium
12,15,2,3,2,3,1,3,29,15,2,2,Yes,0,0,153,49,12682,4193,12,4,3,4,3,3,10,3,9,5,0,8,No,2,College,26-35,Meduim Salary,Experienced,High
50,63,2,3,2,3,2,2,35,8,1,4,No,1,0,1229,36,4892,2269,19,4,4,4,3,3,1,2,1,0,0,1,No,1,Below College,26-35,Low Salary,New Employee,Very High
60,77,2,5,2,3,2,1,37,1,2,2,No,1,1,1115,51,2689,5993,18,1,3,3,3,4,7,2,7,5,0,7,No,4,Master,36-45,Meduim Salary,Experienced,High
66,84,2,4,4,3,1,1,55,8,4,3,Yes,2,3,836,33,19730,14756,14,4,3,3,3,3,21,2,5,0,0,2,No,3,Bachelor,46-55,High Salary,Early Career,High
72,94,2,7,2,3,2,2,29,2,1,3,No,0,1,1328,76,4956,2703,23,3,2,4,4,3,6,3,5,4,0,4,No,3,Bachelor,26-35,Low Salary,Early Career,Medium
74,96,2,7,2,3,2,2,32,1,2,3,No,1,2,548,66,7346,6220,17,2,2,2,3,3,10,3,10,4,0,9,No,3,Bachelor,26-35,Meduim Salary,Experienced,Medium
82,105,2,7,4,3,2,3,35,1,1,2,No,1,0,1214,30,26278,2859,18,2,3,1,3,3,6,3,6,4,0,4,No,3,Bachelor,26-35,Low Salary,Experienced,High
86,112,2,5,2,3,2,3,56,7,3,1,No,4,0,1400,49,21698,7260,11,4,4,1,3,2,37,3,6,4,0,2,No,3,Bachelor,56+,High Salary,Experienced,Very High
96,126,2,6,6,3,1,2,54,2,3,3,No,9,1,1217,60,24001,13549,12,1,3,1,3,1,16,5,4,3,0,3,No,4,Master,46-55,High Salary,Early Career,High
142,192,2,7,4,3,2,3,45,29,1,3,No,5,0,1316,83,9752,3452,13,3,4,2,3,2,9,2,6,5,0,3,No,3,Bachelor,36-45,Meduim Salary,Experienced,Very High
144,194,2,7,2,3,1,3,30,18,1,3,No,1,0,438,75,23910,2632,14,1,3,3,3,2,5,4,5,4,0,4,No,3,Bachelor,26-35,Low Salary,Early Career,High
154,206,2,3,2,3,2,1,45,9,2,3,No,8,1,194,60,10901,2348,18,2,2,3,3,1,20,2,17,9,0,15,No,3,Bachelor,36-45,Low Salary,Long-Term,Medium
177,242,2,7,2,3,2,3,33,2,1,3,No,0,0,134,90,10515,2500,14,3,4,1,3,4,4,2,3,1,0,2,No,3,Bachelor,26-35,Low Salary,Early Career,Very High
192,260,2,7,4,3,1,3,27,9,1,3,No,1,0,894,99,11781,2279,16,4,2,4,3,2,7,2,7,7,0,3,No,3,Bachelor,26-35,Low Salary,Experienced,Medium
249,340,2,7,4,3,1,2,37,1,1,2,No,2,1,1017,83,18697,3920,14,3,1,1,3,2,17,2,3,1,0,2,No,2,College,36-45,Meduim Salary,Early Career,Low
284,389,2,3,6,3,2,2,55,20,2,3,Yes,3,1,147,37,15972,5415,19,2,4,4,3,3,12,4,10,7,0,8,No,2,College,46-55,Meduim Salary,Experienced,Very High
290,395,2,7,2,3,1,3,28,8,1,3,No,1,0,1117,66,4488,3310,21,4,4,4,4,3,5,3,5,3,0,2,No,2,College,26-35,Meduim Salary,Early Career,Very High
303,412,2,1,4,3,2,3,28,16,2,4,No,0,0,1476,68,4824,5661,19,2,1,3,3,3,9,2,8,3,0,7,No,2,College,26-35,Meduim Salary,Experienced,Low
308,421,2,6,2,3,1,2,38,25,3,2,No,3,1,849,81,26707,12061,17,1,2,3,3,3,19,2,10,8,0,1,No,2,College,36-45,High Salary,Experienced,Medium
317,431,2,1,6,3,1,3,49,1,4,2,Yes,7,0,1091,90,17810,13964,12,3,3,4,3,3,25,2,7,1,0,7,No,2,College,46-55,High Salary,Experienced,High
323,439,2,7,4,3,1,3,32,2,2,4,No,7,0,1018,74,10557,5055,16,1,4,3,3,2,10,0,7,7,0,7,No,4,Master,26-35,Meduim Salary,Experienced,Very High
345,464,2,5,6,3,2,3,35,5,3,3,No,0,0,1296,62,18264,8095,13,3,2,4,3,3,17,5,16,6,0,13,No,4,Master,26-35,High Salary,Long-Term,Medium
352,471,2,3,4,3,1,2,32,2,1,3,No,1,1,1062,75,3956,2370,13,3,2,3,3,3,8,4,8,0,0,7,No,3,Bachelor,26-35,Low Salary,Experienced,Medium
365,486,2,3,4,3,1,2,37,10,1,3,No,6,1,921,98,17663,3452,20,3,1,2,4,3,17,3,5,4,0,3,No,3,Bachelor,36-45,Meduim Salary,Early Career,Low
390,518,2,5,2,3,2,3,37,10,2,3,Yes,2,0,1305,49,21123,4197,12,3,2,4,3,2,18,2,1,0,0,1,No,4,Master,36-45,Meduim Salary,New Employee,Medium
407,543,2,5,4,3,2,2,52,3,3,2,Yes,2,0,319,39,19609,7969,14,4,3,3,3,3,28,4,5,4,0,4,No,3,Bachelor,46-55,High Salary,Early Career,High
411,548,2,5,2,3,1,3,30,2,2,1,No,2,0,317,43,24793,6091,20,3,4,3,4,3,11,2,5,4,0,2,No,3,Bachelor,26-35,Meduim Salary,Early Career,Very High
413,550,2,5,4,3,1,1,46,18,2,3,No,2,1,1485,87,26314,4810,14,3,3,3,3,2,19,5,10,7,0,8,No,3,Bachelor,46-55,Meduim Salary,Experienced,High
429,574,2,5,4,3,1,1,47,2,2,3,No,5,3,983,65,7389,5070,13,1,4,3,3,3,20,2,5,0,0,4,No,2,College,46-55,Meduim Salary,Early Career,Very High
435,581,2,5,2,3,2,1,31,9,3,3,No,1,1,1274,33,14394,10648,25,3,2,4,4,4,13,6,13,8,0,8,No,1,Below College,26-35,High Salary,Long-Term,Medium
456,612,2,6,4,3,1,1,33,1,4,4,No,4,1,922,95,22578,16184,19,1,3,3,3,3,10,2,6,1,0,5,No,5,Doctor,26-35,Very High Salary,Experienced,High
474,638,2,6,2,3,2,1,49,18,5,2,Yes,1,1,1245,58,2125,19502,17,4,3,3,3,3,31,5,31,9,0,9,No,4,Master,46-55,Very High Salary,Long-Term,High
486,655,2,7,4,3,1,1,27,6,1,2,No,0,2,798,66,5013,2187,12,1,3,3,3,2,6,5,5,3,0,3,No,4,Master,26-35,Low Salary,Early Career,High
501,679,2,7,2,3,1,2,32,9,2,3,Yes,1,1,646,92,18089,6322,12,1,4,4,3,2,6,2,6,4,0,5,No,4,Master,26-35,Meduim Salary,Experienced,Very High
531,725,2,5,2,3,1,2,27,1,3,3,No,1,0,608,68,6009,7412,11,3,1,4,3,3,9,3,9,7,0,7,No,2,College,26-35,High Salary,Experienced,Low
551,758,2,3,4,3,2,2,23,9,1,3,No,1,1,650,37,4344,2500,14,2,1,4,3,4,5,2,4,3,0,2,No,1,Below College,18-25,Low Salary,Early Career,Low
555,764,2,1,4,3,1,3,27,7,2,2,No,8,0,975,55,23398,6811,19,4,1,1,3,1,9,2,7,6,0,7,No,3,Bachelor,26-35,Meduim Salary,Experienced,Low
560,773,2,7,4,3,2,2,38,2,1,3,Yes,6,1,268,92,20471,3057,13,4,3,2,3,1,6,0,1,0,0,1,No,5,Doctor,36-45,Meduim Salary,New Employee,High
589,815,2,6,4,3,2,2,50,2,4,3,No,5,0,691,64,6881,17639,16,3,3,4,3,3,30,3,4,3,0,3,No,3,Bachelor,46-55,Very High Salary,Early Career,High
594,823,2,5,5,3,1,2,36,1,2,3,No,0,1,676,35,23361,5228,15,3,2,1,3,3,10,2,9,7,0,5,No,3,Bachelor,36-45,Meduim Salary,Experienced,Medium
595,824,2,7,2,3,2,2,29,23,1,4,No,1,1,1252,81,23779,2700,24,3,3,3,4,3,10,3,10,7,0,7,No,2,College,26-35,Low Salary,Experienced,High
598,827,2,5,2,3,1,2,42,1,2,2,Yes,9,1,932,43,4051,6062,13,4,4,4,3,3,8,4,4,3,0,2,No,2,College,36-45,Meduim Salary,Early Career,Very High
611,844,2,6,6,3,2,1,27,5,3,2,Yes,1,1,269,42,8842,12808,16,3,4,2,3,3,9,3,9,8,0,8,No,1,Below College,26-35,High Salary,Experienced,Very High
619,854,2,7,4,3,2,3,25,2,1,4,No,7,0,180,65,21632,3424,13,1,1,3,3,2,6,3,4,3,0,1,No,1,Below College,18-25,Meduim Salary,Early Career,Low
645,895,2,7,2,3,2,2,31,11,1,3,Yes,3,1,1222,48,14871,2356,19,4,4,2,3,3,8,2,6,4,0,2,No,4,Master,26-35,Low Salary,Experienced,Very High
658,912,2,3,4,3,1,1,29,7,1,2,No,6,3,1086,62,6054,2532,14,1,4,3,3,3,8,5,4,3,0,3,No,1,Below College,26-35,Low Salary,Early Career,Very High
675,940,2,1,6,3,1,1,58,5,3,2,Yes,2,1,1272,37,9255,10552,13,3,2,4,3,3,24,3,6,0,0,4,No,3,Bachelor,56+,High Salary,Experienced,Medium
677,942,2,1,2,3,1,2,35,21,2,3,Yes,1,1,1137,51,19170,4014,25,4,4,4,4,1,10,2,10,6,0,7,No,1,Below College,26-35,Meduim Salary,Experienced,Very High
714,996,2,3,4,3,1,1,45,1,1,3,No,3,2,974,91,11005,2270,14,4,4,4,3,3,8,2,5,3,0,2,No,4,Master,36-45,Low Salary,Early Career,Very High
724,1007,2,5,4,3,2,1,46,7,3,3,No,6,1,566,75,24208,10845,13,4,3,2,3,3,13,3,8,7,0,7,No,2,College,46-55,High Salary,Experienced,High
729,1013,2,5,6,3,1,2,54,17,3,3,No,8,1,1441,56,13943,10739,11,3,3,3,3,3,22,2,10,7,0,8,No,3,Bachelor,46-55,High Salary,Experienced,High
768,1062,2,1,5,3,1,3,37,3,2,3,No,3,0,124,35,13848,4107,15,4,2,1,3,2,8,3,4,3,0,1,No,3,Bachelor,36-45,Meduim Salary,Early Career,Medium
784,1085,2,7,6,3,1,2,41,7,1,4,No,1,0,509,43,18863,3376,13,2,3,3,3,3,10,3,10,6,0,8,No,2,College,36-45,Meduim Salary,Experienced,High
820,1136,2,7,2,3,2,2,28,2,1,2,No,0,0,1451,67,19911,3201,17,1,2,1,3,1,6,2,5,3,0,4,No,1,Below College,26-35,Meduim Salary,Early Career,Medium
844,1177,2,3,4,3,2,2,26,3,1,4,No,1,1,1384,82,13421,4420,22,1,4,2,4,3,8,2,8,7,0,7,No,4,Master,26-35,Meduim Salary,Experienced,Very High
853,1192,2,3,4,3,1,2,29,6,1,3,No,1,1,1401,54,26342,3131,13,2,4,1,3,3,10,5,10,8,0,8,No,1,Below College,26-35,Meduim Salary,Experienced,Very High
895,1250,2,6,2,3,2,2,54,3,4,3,No,3,0,685,85,23474,17779,14,4,4,1,3,3,36,2,10,9,0,9,No,3,Bachelor,46-55,Very High Salary,Experienced,Very High
896,1251,2,1,4,3,2,2,31,11,2,3,Yes,1,0,1332,80,17089,6833,12,3,1,4,3,2,6,2,6,5,0,1,No,2,College,26-35,Meduim Salary,Experienced,Low
899,1255,2,6,2,3,2,2,43,3,5,1,No,3,1,920,96,18625,19740,14,3,4,2,3,3,25,2,8,7,0,7,No,3,Bachelor,36-45,Very High Salary,Experienced,Very High
903,1259,2,7,2,3,2,1,27,4,1,3,No,1,3,1167,76,3208,2517,11,1,3,2,3,3,5,2,5,3,0,3,No,2,College,26-35,Low Salary,Early Career,High
910,1269,2,7,2,3,1,3,19,25,1,4,Yes,1,0,265,57,21221,2994,12,2,4,4,3,3,1,2,1,0,0,1,No,3,Bachelor,18-25,Low Salary,New Employee,Very High
911,1270,2,7,2,3,2,2,23,1,1,3,No,1,1,373,47,16901,1223,22,4,3,4,4,3,1,2,1,0,0,1,No,2,College,18-25,Low Salary,New Employee,High
949,1321,2,4,4,3,1,2,30,17,3,3,Yes,1,2,634,95,25927,11916,23,2,1,4,4,3,9,2,9,1,0,8,No,4,Master,26-35,High Salary,Experienced,Low
970,1363,2,5,2,3,2,3,48,4,3,3,No,1,0,855,54,18706,7898,11,4,4,3,3,3,11,2,10,9,0,8,No,3,Bachelor,46-55,High Salary,Experienced,Very High
1001,1409,2,3,5,3,1,2,52,8,1,3,No,9,0,258,54,17363,2950,13,3,1,3,3,1,12,2,5,4,0,4,No,4,Master,46-55,Low Salary,Early Career,Low
1005,1417,2,3,5,3,2,3,26,7,1,4,No,0,0,652,100,23577,3578,12,3,1,4,3,3,8,2,7,7,0,7,No,3,Bachelor,26-35,Meduim Salary,Experienced,Low
1028,1447,2,3,2,3,1,2,34,1,1,2,No,5,1,401,86,3708,3294,17,4,2,1,3,2,7,2,5,4,0,2,No,3,Bachelor,26-35,Meduim Salary,Early Career,Medium
1035,1460,2,1,4,3,2,1,45,20,3,1,Yes,2,1,1038,95,19863,10851,18,2,1,2,3,3,24,2,7,7,0,7,No,3,Bachelor,36-45,High Salary,Experienced,Low
1055,1484,2,1,2,3,2,1,49,7,3,3,No,3,2,1490,35,20948,10466,14,3,2,2,3,3,29,3,8,7,0,7,No,4,Master,46-55,High Salary,Experienced,Medium
1067,1502,2,3,4,3,1,2,33,4,1,2,No,8,0,1099,82,8192,3838,11,1,2,4,3,3,8,5,5,4,0,2,No,4,Master,26-35,Meduim Salary,Early Career,Medium
1091,1544,2,1,5,3,1,2,29,8,2,1,No,3,1,441,39,7288,9715,13,3,1,3,3,3,9,3,7,7,0,7,No,1,Below College,26-35,High Salary,Experienced,Low
1092,1545,2,5,2,3,2,3,33,25,2,2,No,1,0,575,44,24152,4320,13,4,2,4,3,3,5,2,5,3,0,2,No,3,Bachelor,26-35,Meduim Salary,Early Career,Medium
1093,1546,2,7,6,3,2,2,45,28,1,3,No,4,1,950,97,4585,2132,20,4,4,4,4,3,8,3,5,4,0,3,No,3,Bachelor,36-45,Low Salary,Early Career,Very High
1130,1595,2,4,5,3,2,3,42,9,5,2,No,8,0,1059,93,26362,19613,22,4,4,4,4,3,24,2,1,0,0,1,No,2,College,36-45,Very High Salary,New Employee,Very High
1134,1599,2,3,6,3,2,1,43,27,1,4,No,5,1,990,87,5855,4876,12,4,2,3,3,3,8,0,6,4,0,2,No,3,Bachelor,36-45,Meduim Salary,Experienced,Medium
1135,1601,2,3,2,3,2,2,35,7,1,2,No,1,1,1349,63,7713,2690,18,3,4,4,3,2,1,5,1,0,0,1,No,2,College,26-35,Low Salary,New Employee,Very High
1150,1619,2,3,5,3,2,1,27,19,1,2,No,1,2,1302,67,16290,4066,11,4,1,1,3,3,7,3,7,7,0,7,No,3,Bachelor,26-35,Meduim Salary,Experienced,Low
1156,1627,2,3,4,3,2,1,39,3,2,2,No,0,1,170,76,10302,3069,15,3,3,4,3,3,11,3,10,8,0,7,No,2,College,36-45,Meduim Salary,Experienced,High
1159,1631,2,5,2,3,2,2,37,19,2,3,No,3,3,671,85,26493,5768,17,3,3,1,3,2,9,2,4,3,0,2,No,3,Bachelor,36-45,Meduim Salary,Early Career,High
1162,1638,2,5,4,3,1,2,38,2,3,2,Yes,3,1,397,54,14199,7756,19,4,3,4,3,4,10,6,5,4,0,2,No,2,College,36-45,High Salary,Early Career,High
1184,1664,2,1,2,3,2,1,36,3,2,4,No,6,1,1040,79,26308,6842,20,4,1,1,4,3,13,3,5,4,0,4,No,2,College,36-45,Meduim Salary,Early Career,Low
1218,1707,2,7,4,3,2,2,24,9,1,4,No,1,1,581,62,17616,4401,16,3,3,4,3,3,5,1,5,3,0,4,No,3,Bachelor,18-25,Meduim Salary,Early Career,High
1232,1727,2,1,2,3,2,3,46,13,2,3,No,6,0,717,34,9697,5562,14,3,2,4,3,3,19,3,10,7,0,9,No,4,Master,46-55,Meduim Salary,Experienced,Medium
1233,1728,2,5,2,3,2,2,35,27,2,3,No,2,1,1370,49,5151,6883,16,4,3,2,3,3,17,3,7,7,0,7,No,4,Master,26-35,Meduim Salary,Experienced,High
1234,1729,2,7,2,3,2,2,30,16,1,3,No,1,1,793,33,3811,2862,12,2,4,2,3,2,10,2,10,0,0,8,No,1,Below College,26-35,Low Salary,Experienced,Very High
1264,1768,2,3,4,3,2,1,42,12,1,3,No,8,3,855,57,8952,2766,22,2,2,2,4,2,7,6,5,3,0,4,No,3,Bachelor,36-45,Low Salary,Early Career,Medium
1267,1772,2,3,2,3,2,1,41,9,1,3,No,1,2,548,94,20520,2289,20,3,1,2,4,3,5,2,5,3,0,4,No,4,Master,36-45,Low Salary,Early Career,Low
1273,1782,2,3,5,3,1,2,38,6,1,2,No,1,1,1153,40,16376,3702,11,4,3,2,3,3,5,3,5,4,0,4,No,2,College,36-45,Meduim Salary,Early Career,High
1284,1799,2,7,2,3,2,2,28,1,1,3,No,1,1,1181,82,5531,2044,11,3,4,3,3,4,5,6,5,3,0,3,No,3,Bachelor,26-35,Low Salary,Early Career,Very High
1287,1802,2,3,2,3,1,2,40,2,1,3,No,4,1,616,99,25605,3377,17,3,1,4,3,2,7,5,4,3,0,2,No,2,College,36-45,Meduim Salary,Early Career,Low
1297,1816,2,5,4,3,1,3,30,10,3,3,No,9,0,1092,64,2739,9667,14,1,3,2,3,3,9,3,7,7,0,2,No,3,Bachelor,26-35,High Salary,Experienced,High
1300,1822,2,1,2,3,1,1,40,1,2,3,No,4,1,1194,52,9060,6513,17,3,4,4,3,3,12,3,5,3,0,3,No,3,Bachelor,36-45,Meduim Salary,Early Career,Very High
1303,1826,2,3,4,3,2,2,35,23,1,1,No,0,1,185,91,9696,2705,16,2,3,2,3,4,6,2,5,4,0,3,No,4,Master,26-35,Low Salary,Early Career,High
1342,1881,2,3,2,3,2,1,31,20,2,3,No,1,1,311,89,18624,4197,11,2,3,1,3,3,10,2,10,8,0,2,No,3,Bachelor,26-35,Meduim Salary,Experienced,High
1345,1885,2,7,4,3,2,2,37,7,2,3,Yes,5,1,783,78,13588,4284,22,4,1,3,4,3,16,2,5,3,0,4,No,4,Master,36-45,Meduim Salary,Early Career,Low
1388,1954,2,1,2,3,2,2,29,1,2,3,No,0,1,136,89,6225,5373,12,1,1,1,3,2,6,5,5,3,0,2,No,3,Bachelor,26-35,Meduim Salary,Early Career,Low
1400,1971,2,1,2,3,2,2,43,11,3,3,No,1,1,574,30,16873,7510,17,1,3,2,3,3,10,1,10,9,0,9,No,3,Bachelor,36-45,High Salary,Experienced,High
1425,2008,2,7,4,3,2,3,35,9,2,3,No,1,0,1395,48,18698,5098,19,2,3,2,3,3,10,5,10,7,0,8,No,4,Master,26-35,Meduim Salary,Experienced,High
1446,2034,2,5,2,3,1,2,41,28,4,2,No,0,1,582,60,5640,13570,23,1,2,3,4,3,21,3,20,7,0,10,No,4,Master,36-45,High Salary,Long-Term,Medium
1458,2051,2,7,4,3,1,2,40,2,1,3,No,2,3,1194,98,12549,2001,14,3,3,2,3,3,20,2,5,3,0,2,No,4,Master,36-45,Low Salary,Early Career,High
1460,2053,2,3,5,3,2,2,29,13,2,2,Yes,4,1,1378,46,23679,4025,13,4,2,1,3,3,10,2,4,3,0,3,No,2,College,26-35,Meduim Salary,Early Career,Medium
1461,2054,2,7,4,3,1,3,29,28,1,2,No,1,0,468,73,8489,3785,14,4,1,2,3,1,5,3,5,4,0,4,No,4,Master,26-35,Meduim Salary,Early Career,Low
17,21,2,7,2,3,2,1,32,5,1,4,Yes,0,2,334,80,15053,3298,12,1,2,4,3,2,7,5,6,2,0,5,No,2,College,26-35,Meduim Salary,Experienced,Medium
220,303,3,8,3,3,1,2,54,3,2,3,No,2,1,1147,52,17011,5940,14,4,1,4,3,3,16,4,6,2,0,5,No,3,Bachelor,46-55,Meduim Salary,Experienced,Low
247,338,2,7,2,3,1,2,33,5,1,2,No,1,1,832,63,14776,2911,13,3,4,3,3,2,2,2,2,2,0,2,No,4,Master,26-35,Low Salary,New Employee,Very High
263,362,2,3,6,3,2,3,32,2,2,2,No,4,0,128,84,19737,2176,13,4,1,4,3,3,9,5,6,2,0,4,No,1,Below College,26-35,Low Salary,Experienced,Low
341,460,2,5,4,3,2,1,37,5,2,3,No,7,2,1192,61,23177,6347,16,4,4,3,3,2,8,2,6,2,0,4,No,2,College,36-45,Meduim Salary,Experienced,Very High
406,538,2,3,4,3,2,2,25,3,1,3,No,5,1,688,91,9396,4031,13,1,1,3,3,3,6,5,2,2,0,2,Yes,3,Bachelor,18-25,Meduim Salary,New Employee,Low
408,544,2,7,2,3,2,2,45,10,1,3,No,3,2,192,69,9655,2654,21,1,4,4,4,2,8,3,2,2,0,2,No,2,College,36-45,Low Salary,New Employee,Very High
421,564,2,6,4,3,2,2,29,3,3,2,No,1,0,986,93,21526,11935,18,2,3,3,3,3,10,2,10,2,0,7,No,4,Master,26-35,High Salary,Experienced,High
494,665,1,2,2,3,1,3,44,1,2,2,No,4,0,1112,50,26894,5985,11,1,3,2,3,4,10,1,2,2,0,2,No,4,Master,36-45,Meduim Salary,New Employee,High
495,666,3,9,6,3,1,1,34,14,1,3,Yes,1,2,204,31,2912,2579,18,3,3,4,3,3,8,3,8,2,0,6,No,3,Bachelor,26-35,Low Salary,Experienced,High
498,671,2,4,5,3,2,2,44,3,5,3,Yes,4,1,1315,35,9358,19513,12,4,4,1,3,4,26,2,2,2,0,1,No,4,Master,36-45,Very High Salary,New Employee,Very High
566,784,2,7,4,3,2,3,23,10,1,4,No,1,0,310,79,19630,3505,18,1,3,4,3,3,2,3,2,2,0,2,No,1,Below College,18-25,Meduim Salary,New Employee,High
582,806,2,3,2,3,2,2,30,1,1,1,No,3,2,921,38,24375,3833,21,4,3,3,4,3,7,2,2,2,0,2,No,3,Bachelor,26-35,Meduim Salary,New Employee,High
663,922,3,9,4,3,1,3,20,2,1,2,No,1,0,500,49,22052,2044,13,3,3,4,3,2,2,3,2,2,0,2,Yes,3,Bachelor,18-25,Low Salary,New Employee,High
681,949,2,7,5,3,2,3,36,7,1,3,No,2,0,188,65,23293,4678,18,2,4,3,3,3,8,6,6,2,0,1,No,4,Master,36-45,Meduim Salary,Experienced,Very High
777,1077,3,9,3,2,1,3,20,9,1,3,Yes,1,0,769,54,17205,2323,14,4,4,2,3,3,2,3,2,2,0,2,Yes,3,Bachelor,18-25,Low Salary,New Employee,Very High
783,1084,2,5,5,3,2,2,30,20,2,3,No,0,1,1176,85,9096,9957,15,3,1,3,3,2,7,1,6,2,0,2,No,3,Bachelor,26-35,High Salary,Experienced,Low
